MentalHealthDescription,MentalHealthNow,Anxiety,ControlWorrying,WorryingTooMuch,TrobleRelaxing,HardToSitStill,EasilyAnnoyed,Afraid,Stress,ShoppingToDrugStore,DeliveryServiceForGroceryOrDrug,FoodDelivery,ImpactsOnHealth,Household,Vunerable,CanadaPopHealth,WorldPopHealth,Overloading,CivilDisorder,MaintainingSocials,SuportAfterCrisis,SupportDuringCrisis,StressFromConfinement,Gender,CanadianCitizen,Age,Born,VERDATE
Very Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Not at all,Several days,Several days,A bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,"No, not Canadian citizen",6,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,"No, not Canadian citizen",0,Born in Canada,JULY
Good,Somewhat worse now,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,More than half the days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Not at all,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Very,Female,"Yes, Canadian citizen by naturalization",13,Born outside Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen",1,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Several days,Several days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",6,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,Several days,More than half the days,More than half the days,More than half the days,Several days,Not at all,Quite a bit stressful,Zero times,Zero Times,1 to 3 times,Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Extremely,Not at all,Female,"Yes, Canadian by birth",11,Born outside Canada,JULY
Fair,Much worse now,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,Several days,Nearly every day,Quite a bit stressful,Zero times,Zero Times,Zero Times,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Very,Female,"Yes, Canadian by birth",16,Born outside Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Not at all,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Very,Very,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Female,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Fair,Much worse now,More than half the days,More than half the days,Nearly every day,Several days,Several days,More than half the days,More than half the days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times or 5 times,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Very,Very,Female,"Yes, Canadian by birth",13,Born outside Canada,JULY
Fair,Somewhat worse now,Several Days,Several days,Several days,More than half the days,More than half the days,More than half the days,More than half the days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Not at all,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Somewhat,Very,Female,"Yes, Canadian by birth",11,Born outside Canada,JULY
Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Not at all,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Very,Female,"Yes, Canadian citizen by naturalization",6,Born in Canada,JULY
Fair,Somewhat better now,Several Days,Several days,Several days,Nearly every day,More than half the days,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Female,"Yes, Canadian by birth",10,Born outside Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,"Yes, Canadian citizen",0,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,More than half the days,Not at all,Not at all,Several days,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Male,"No, not Canadian citizen",4,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Several days,More than half the days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Extremely,Extremely,Somewhat,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Very,Female,"Yes, Canadian citizen by naturalization",8,Born in Canada,JULY
Good,Somewhat worse now,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",3,Born in Canada,JULY
Very Good,Somewhat better now,More than half the days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,"No, not Canadian citizen",3,Born in Canada,JULY
Good,Much worse now,Nearly every day,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Extremely stressful,Daily or more to 3 times,Zero Times,Zero Times,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Extremely,Extremely,Extremely,Female,"Yes, Canadian citizen by naturalization",19,Born outside Canada,JULY
Very Good,Somewhat better now,Several Days,Not at all,Several days,Not at all,Several days,Several days,Several days,A bit stressful,Zero times,Zero Times,Zero Times,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Several days,Several days,More than half the days,Several days,More than half the days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,JULY
Fair,Somewhat worse now,More than half the days,Nearly every day,Nearly every day,Several days,Several days,Several days,More than half the days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Somewhat,Very,Female,"Yes, Canadian by birth",13,Born outside Canada,JULY
Fair,Somewhat worse now,Nearly every day,Several days,Several days,More than half the days,More than half the days,Several days,Not at all,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Not at all,Female,"Yes, Canadian by birth",10,Born outside Canada,JULY
Very Good,Somewhat worse now,Several Days,Several days,Several days,Not at all,Several days,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Male,"No, not Canadian citizen",5,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Not at all,Several days,Not at all,Several days,More than half the days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Very Good,About the same,Several Days,Not at all,Not at all,Nearly every day,Several days,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Fair,Somewhat better now,Nearly every day,Several days,Several days,More than half the days,Several days,More than half the days,More than half the days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Not at all,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian by birth",12,Born outside Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all stressful,Zero times,1 to 3 times,1 to 3 times,Very,Not at all,Very,Very,Very,Very,Not at all,Somewhat,Not at all,Not at all,Somewhat,Female,"No, not Canadian citizen",0,Born in Canada,JULY
Excellent,Much better now,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,"Yes, Canadian citizen",0,Born in Canada,JULY
Good,Somewhat worse now,More than half the days,More than half the days,More than half the days,Several days,Several days,Nearly every day,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",12,Born outside Canada,JULY
Fair,Somewhat worse now,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Several days,Quite a bit stressful,Zero times,1 to 3 times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Female,"Yes, Canadian by birth",15,Born outside Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Several days,More than half the days,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Extremely,Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Male,"Yes, Canadian citizen by naturalization",4,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Not at all,More than half the days,Not at all,More than half the days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Female,"Yes, Canadian citizen by naturalization",6,Born in Canada,JULY
Good,About the same,Several Days,Several days,More than half the days,Several days,Not at all,More than half the days,More than half the days,Quite a bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Somewhat,Very,Very,Somewhat,Not at all,Somewhat,Extremely,Very,Very,Somewhat,Not at all,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,JULY
Very Good,About the same,Several Days,Not at all,Several days,Several days,Not at all,Several days,Several days,A bit stressful,Zero times,Zero Times,Zero Times,Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Very,Very,Very,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Very Good,Much worse now,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,More than half the days,Nearly every day,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Female,"No, not Canadian citizen",15,Born outside Canada,JULY
Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times or 5 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Male,"Yes, Canadian citizen by naturalization",0,Born in Canada,JULY
Good,Somewhat worse now,More than half the days,Several days,Several days,Several days,Several days,More than half the days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Very,Somewhat,Extremely,Extremely,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,JULY
Very Good,Much worse now,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Extremely stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Female,"No, not Canadian citizen",21,Born outside Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Female,"No, not Canadian citizen",1,Born in Canada,JULY
Very Good,Much better now,Several Days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,A bit stressful,Zero times,1 to 3 times,1 to 3 times,Very,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",3,Born in Canada,JULY
Very Good,About the same,Several Days,Several days,Several days,Several days,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",4,Born in Canada,JULY
Excellent,About the same,Several Days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not very stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Female,"Yes, Canadian citizen",3,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Not at all,Not at all,Male,"No, not Canadian citizen",0,Born in Canada,JULY
Very Good,Somewhat worse now,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",2,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Male,"No, not Canadian citizen",0,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Several days,Several days,Not at all,Several days,Not at all,Quite a bit stressful,Zero times,1 to 3 times,1 to 3 times,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Very,Not at all,Male,"No, not Canadian citizen",3,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Several days,More than half the days,More than half the days,More than half the days,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Female,"No, not Canadian citizen",9,Born in Canada,JULY
Fair,Much worse now,Nearly every day,Several days,More than half the days,More than half the days,Not at all,Several days,More than half the days,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Male,"Yes, Canadian by birth",11,Born outside Canada,JULY
